各个频率段的的声音表现,,
频率（单位：Hz）,听感影响,代表乐器
16k－20k,这段频率可能很多人都听不到，因此，听不到此段频率并不意味着器材无法回放，当然也不代表您的听力不够好，只有很少人可以听 到20kHz。这段频率可以影响高频的亮度，以及整体的空间感，这 段频率过少会让人觉得有点闷，太多则会产生飘忽感，容易产生听觉疲劳。,电子合声、古筝钢琴等乐器的泛 音
12k－16k,12k－16k 这段频率能够影响整体的色彩感，所谓小提琴的“松香味”就是由此段频率决定的，这段频率过于黯淡会导致乐器失去个性，过多则会产生毛刺感，后期处理的时候，往往会通过激励器来美化这段频率 。,镲、铃、铃鼓、沙锤、铜刷、三 角铁等打击乐器的高频泛音
8k－12k,8～12kHz是音乐的高音区，对音响的高频表现感觉最为敏感。适当突出（5dB以下）对音响的的层次和色彩有较大帮助，也会让人 感到高音丰富。但是，太多的话会增加背景噪声，例如：系统（声 卡、音源）的噪声会被明显地表现出来，同时也会让人感到声音发尖、发毛。如果这段缺乏的话，声音将缺乏感染力和活力。,长笛、双簧管、小号、短笛等高 音管乐器
4k－8k,这段频率最影响语音的清晰度、明亮度、如果这频率成分缺少，音 色则变得平平淡淡；如果这段频率成分过多，音色则变得尖锐，人 身可能出现齿音。这段频率通常通过压限器来美化。,部分女声、以及大部分吹奏类乐 器
2k-4k,这个频率的穿透力很强。人耳耳腔的谐振频率是1-4KHz所以人耳对这个频率也是非常敏感的。如果空虚频率成分过少，听觉能力会变差，语音显得模糊不清了。如果这个频率成分过强了，则会产生 咳声的感觉。2～4kHz对声音的亮度影响很大，这段声音一般不宜 衰减。这段对音乐的层次影响较大，有适当的提升可以提高声音的明亮度和清晰度，但是在4kHz时不能有过多的突出，否则女声的齿音会过重。,部分女声、以及大部分吹奏类乐 器
1.2k,1.2kHz可以适当多一点，但是不宜超过3dB，可以提高声音的明亮度，但是，过多会使声音发硬。, 
1k,1 kHz是音响器材测试的标准参考频率，通常在音响器材中给出的参数是在1 kHz下测试。这是人耳最为敏感的频率。,
800,"这个频率幅度影响音色的力度。如果这个频率丰满，音色会显得强劲有力；如果这个频率不足，音色将会显得松弛，也就是800Hz以下的成分特性表现突出了，低频成分就明显；而如果这个频率过多 了，则会产生喉音感。如果喉音过多了，则会失掉语音的个性，适当的喉音则可以增加性感，因此，音响师把这个频率称为""危险频率""，要谨慎使用。",人声、部分打击乐器
300－500,在300－500Hz频段的声音主要是表现人声的（唱歌、朗诵），这 个频段上可以表现人声的厚度和力度，好则人声明亮、清晰，否则单薄、混浊。,人声
150－300,"这段频率影响声音的力度，尤其是男声声音的力度。这段频率是男声声音的低频基音频率，同时也是乐音中和弦的根音频率。在80－160Hz频段的声音主要表现音乐的厚实感，音响在这部分重放效 果好的话，会感到音乐厚实、有底气。这部分表现得好的话，在 80Hz以下缺乏时，甚至不会感到缺乏低音。如果表现不好，音乐会有沉闷感，甚至是有气无力。是许多低音炮音箱的重放上限，具此可判断您的低音炮音箱频率上限
",
